"Subject","Rep","Day","pH","Treat","subj_rep"
"Media & fiber","A","d0",7.01,"MSPrebio","Media & fiberA"
"Media & fiber","A","d1",7.2,"MSPrebio","Media & fiberA"
"Media & fiber","A","d2",7.21,"MSPrebio","Media & fiberA"
"Media & fiber","A","d3",7.2,"MSPrebio","Media & fiberA"
"Media & fiber","B","d0",7.01,"MSPrebio","Media & fiberB"
"Media & fiber","B","d1",7.19,"MSPrebio","Media & fiberB"
"Media & fiber","B","d2",7.21,"MSPrebio","Media & fiberB"
"Media & fiber","B","d3",7.19,"MSPrebio","Media & fiberB"
"Media & fiber","C","d0",6.98,"MSPrebio","Media & fiberC"
"Media & fiber","C","d1",7.18,"MSPrebio","Media & fiberC"
"Media & fiber","C","d2",7.2,"MSPrebio","Media & fiberC"
"Media & fiber","C","d3",7.19,"MSPrebio","Media & fiberC"
"Sub1","A","d0",6.95,"MSPrebio","Sub1A"
"Sub1","A","d1",5.89,"MSPrebio","Sub1A"
"Sub1","A","d2",5.93,"MSPrebio","Sub1A"
"Sub1","A","d3",5.79,"MSPrebio","Sub1A"
"Sub1","B","d0",6.96,"MSPrebio","Sub1B"
"Sub1","B","d1",5.78,"MSPrebio","Sub1B"
"Sub1","B","d2",5.83,"MSPrebio","Sub1B"
"Sub1","B","d3",5.66,"MSPrebio","Sub1B"
"Sub1","C","d0",6.95,"MSPrebio","Sub1C"
"Sub1","C","d1",5.99,"MSPrebio","Sub1C"
"Sub1","C","d2",6.01,"MSPrebio","Sub1C"
"Sub1","C","d3",5.89,"MSPrebio","Sub1C"
"Sub2","A","d0",6.99,"MSPrebio","Sub2A"
"Sub2","A","d1",4.59,"MSPrebio","Sub2A"
"Sub2","A","d2",4.65,"MSPrebio","Sub2A"
"Sub2","A","d3",4.35,"MSPrebio","Sub2A"
"Sub2","B","d0",6.98,"MSPrebio","Sub2B"
"Sub2","B","d1",4.51,"MSPrebio","Sub2B"
"Sub2","B","d2",4.54,"MSPrebio","Sub2B"
"Sub2","B","d3",4.25,"MSPrebio","Sub2B"
"Sub2","C","d0",6.96,"MSPrebio","Sub2C"
"Sub2","C","d1",4.55,"MSPrebio","Sub2C"
"Sub2","C","d2",4.58,"MSPrebio","Sub2C"
"Sub2","C","d3",4.3,"MSPrebio","Sub2C"
"Sub3","A","d0",6.98,"MSPrebio","Sub3A"
"Sub3","A","d1",4.54,"MSPrebio","Sub3A"
"Sub3","A","d2",4.58,"MSPrebio","Sub3A"
"Sub3","A","d3",4.29,"MSPrebio","Sub3A"
"Sub3","B","d0",6.99,"MSPrebio","Sub3B"
"Sub3","B","d1",4.6,"MSPrebio","Sub3B"
"Sub3","B","d2",4.63,"MSPrebio","Sub3B"
"Sub3","B","d3",4.37,"MSPrebio","Sub3B"
"Sub3","C","d0",6.97,"MSPrebio","Sub3C"
"Sub3","C","d1",4.54,"MSPrebio","Sub3C"
"Sub3","C","d2",4.56,"MSPrebio","Sub3C"
"Sub3","C","d3",4.29,"MSPrebio","Sub3C"
"Sub4","A","d0",7.01,"MSPrebio","Sub4A"
"Sub4","A","d1",4.4,"MSPrebio","Sub4A"
